Txn_ID,User_ID,Tran_Source,Create_Date,Txn_Amount,From_Account,To_Account,Resp_Code,Tracer_No,Txn_Type,Particulars,Remarks,Device,IP_Address,Country,city_name,Latitude,Longitude
TXN3778498580,U10000,Internet,2025-12-23 10:08:13.525049,16147.64,AC8351799673,AC6744232233,0,346534,Fund_Transfer,Transfer to {{BEN}},Successful,Web,192.168.150.184,Bangladesh,Sylhet,24.8949,91.8687
TXN1275933614,U10001,ATM,2025-12-22 21:58:58.988475,8812.08,AC1462212938,AC7094959414,0,109357,Bill_Payment,Electricity Bill,Successful,iOS,192.168.223.171,Bangladesh,Satkhira,22.71,89.0833
TXN4534493838,U10001,ATM,2025-12-23 10:12:41.544843,1307.52,AC7547265738,AC3498396861,0,254622,Merchant_Payment,POS Purchase,Successful,iOS,192.168.55.228,Bangladesh,Barishal,22.701,90.3535
TXN6760825899,U10002,POS,2025-12-15 14:46:24.558685,1898.43,AC9415850090,AC1318746048,0,450151,Bill_Payment,Electricity Bill,Successful,Web,192.168.234.73,Bangladesh,Jessore,23.171,89.2024
TXN9691204061,U10003,ATM,2025-12-08 15:44:54.909568,11706.88,AC7189371437,AC4728895376,0,262479,Bill_Payment,Electricity Bill,Successful,Web,192.168.140.180,Bangladesh,Chattogram,22.3569,91.7832
TXN2596743764,U10003,MobileApp,2025-12-29 10:57:04.172362,10463.46,AC2691828468,AC7099885414,0,184561,Fund_Transfer,Transfer to {{BEN}},Successful,iOS,192.168.48.104,Bangladesh,Others,23.5,90.5
TXN4979239865,U10003,Internet,2025-12-29 19:35:10.595726,8779.85,AC7793349323,AC8804188443,12,876404,Bill_Payment,Electricity Bill,Invalid txn,Android,192.168.205.125,Bangladesh,Chattogram,22.3569,91.7832
TXN2844369449,U10004,Internet,2025-12-17 14:30:15.866234,4267.75,AC7504248726,AC2083163961,0,311005,Fund_Transfer,Transfer to {{BEN}},Successful,Web,192.168.152.48,Bangladesh,Noakhali,22.8167,91.1
TXN9152857251,U10004,POS,2025-12-21 21:14:06.866806,1725.57,AC2690299885,AC5282029011,12,794454,Merchant_Payment,POS Purchase,Invalid txn,Android,192.168.53.227,Bangladesh,Dhaka,23.8103,90.4125
TXN7449734443,U10004,MobileApp,2025-12-28 09:51:04.136641,3844.06,AC6750018819,AC8712166250,0,211983,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.112.128,Bangladesh,Dhaka,23.8103,90.4125
TXN7302856759,U10004,MobileApp,2025-12-30 10:46:31.139646,12714.94,AC5255911215,AC9132281788,0,747305,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.21.8,Bangladesh,Dhaka,23.8103,90.4125
TXN8069694178,U10006,POS,2025-12-07 20:24:05.233371,5571.32,AC2703379428,AC2561723790,12,834304,Fund_Transfer,Transfer to {{BEN}},Invalid txn,ATM,192.168.138.183,Bangladesh,Khulna,22.8456,89.5403
TXN5375314413,U10006,POS,2025-12-09 12:15:36.590106,2371.49,AC9143114235,AC1684559784,0,296558,Merchant_Payment,POS Purchase,Successful,POS,192.168.99.120,Bangladesh,Khulna,22.8456,89.5403
TXN3265068590,U10006,MobileApp,2025-12-10 20:34:40.846573,4879.38,AC3034778089,AC5507365138,0,701845,Fund_Transfer,Transfer to {{BEN}},Successful,ATM,192.168.20.123,Bangladesh,Dhaka,23.8103,90.4125
TXN7193551150,U10007,Internet,2025-12-12 16:12:20.991612,27451.65,AC9836838720,AC7178905014,0,550178,Bill_Payment,Electricity Bill,Successful,Web,192.168.252.49,Bangladesh,Narayanganj,23.6236,90.5
TXN5022170316,U10007,Internet,2025-12-14 09:08:18.259674,753.67,AC4473067482,AC7530729034,0,846924,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.26.201,Bangladesh,Chattogram,22.3569,91.7832
TXN8956256581,U10007,MobileApp,2025-12-18 09:57:59.444500,1788.75,AC5895007624,AC3730741816,0,322197,Merchant_Payment,POS Purchase,Successful,Android,192.168.153.112,Bangladesh,Rangpur,25.7439,89.2752
TXN9606662057,U10007,ATM,2025-12-24 10:46:00.737184,12312.37,AC5583921603,AC9840262938,0,740932,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.26.5,Bangladesh,Chattogram,22.3569,91.7832
TXN6616412669,U10007,MobileApp,2025-12-25 11:52:36.090867,537.7,AC4767056168,AC9673369167,0,575969,Merchant_Payment,POS Purchase,Successful,Android,192.168.18.16,Bangladesh,Chattogram,22.3569,91.7832
TXN1787110001,U10008,POS,2025-12-18 17:44:46.266359,4051.67,AC5747300085,AC8351925419,0,253962,Cash_Withdrawal,ATM Cash Withdrawal,Successful,Android,192.168.215.43,Bangladesh,Dhaka,23.8103,90.4125
TXN2530870843,U10008,Internet,2025-12-22 16:41:52.487092,16946.46,AC2431965430,AC8699961541,0,727471,Bill_Payment,Electricity Bill,Successful,Web,192.168.198.58,Bangladesh,Others,23.5,90.5
TXN6666608993,U10009,MobileApp,2025-12-06 12:27:33.878761,8934.72,AC7774509701,AC6374824702,0,343571,Merchant_Payment,POS Purchase,Successful,Android,192.168.255.201,Bangladesh,Dhaka,23.8103,90.4125
TXN7800000543,U10009,ATM,2025-12-06 14:18:04.218762,5313.24,AC2029171755,AC8606335808,0,500268,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.111.185,Bangladesh,Sylhet,24.8949,91.8687
TXN5387858538,U10009,ATM,2025-12-24 18:00:34.383096,4546.36,AC1852421501,AC4050830758,12,990774,Bill_Payment,Electricity Bill,Invalid txn,Android,192.168.107.16,Bangladesh,Chattogram,22.3569,91.7832
TXN5649931920,U10011,POS,2025-12-07 21:55:58.384376,1412.62,AC9220679501,AC8279306448,0,637760,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.141.236,Bangladesh,Dhaka,23.8103,90.4125
TXN9646279992,U10011,Internet,2025-12-30 04:47:49.143625,8285.14,AC7116998281,AC7021696915,0,553530,Merchant_Payment,POS Purchase,Successful,Android,192.168.16.18,Bangladesh,Chattogram,22.3569,91.7832
TXN7626008679,U10012,ATM,2025-12-20 12:33:58.979384,6288.97,AC3665927755,AC6009687102,12,651314,Fund_Transfer,Transfer to {{BEN}},Invalid txn,Android,192.168.38.5,Bangladesh,Dhaka,23.8103,90.4125
TXN5852746390,U10013,MobileApp,2025-12-01 09:32:51.575962,5567.59,AC4413106907,AC7035832479,12,427684,Fund_Transfer,Transfer to {{BEN}},Invalid txn,Android,192.168.169.131,Bangladesh,Dhaka,23.8103,90.4125
TXN8491316894,U10013,POS,2025-12-11 21:19:00.941120,3982.38,AC5143468892,AC7393310150,0,339843,Bill_Payment,Electricity Bill,Successful,ATM,192.168.241.31,Bangladesh,Chattogram,22.3569,91.7832
TXN4148502369,U10013,POS,2025-12-26 09:50:38.537127,4308.85,AC2850664923,AC3175682971,0,537794,Fund_Transfer,Transfer to {{BEN}},Successful,iOS,192.168.12.171,Bangladesh,Chattogram,22.3569,91.7832
TXN8370811012,U10014,ATM,2025-12-17 12:52:46.458958,8084.64,AC8401591864,AC6735909273,0,656861,Bill_Payment,Electricity Bill,Successful,Android,192.168.166.110,Bangladesh,Feni,23.014,91.4
TXN5990937576,U10014,MobileApp,2025-12-24 09:17:55.198179,1438.15,AC6481192818,AC9348059559,0,117185,Fund_Transfer,Transfer to {{BEN}},Successful,iOS,192.168.131.27,Bangladesh,Others,23.5,90.5
TXN4701912787,U10014,ATM,2025-12-29 12:14:58.631086,6072.7,AC7005055917,AC7456308435,12,496880,Fund_Transfer,Transfer to {{BEN}},Invalid txn,Android,192.168.228.216,Bangladesh,Chattogram,22.3569,91.7832
